Product_Id,Options_Index,Product_Option_Value_Index,Product_Option_Values
7827147128925,0,0,"OS"
7827147128925,1,0,"black"
7827147161693,0,0,"OS"
7827147161693,1,0,"blue"
7827146965085,0,0,"1"
7827146965085,0,1,"2"
7827146965085,1,0,"white"
7827146473565,0,0,"5"
7827146473565,0,1,"6"
7827146473565,0,2,"7"
7827146473565,0,3,"9"
7827146473565,0,4,"10"
7827146473565,0,5,"11"
7827146473565,0,6,"12"
7827146473565,1,0,"white"
7827146375261,0,0,"4"
7827146375261,0,1,"8"
7827146375261,0,2,"14"
7827146375261,1,0,"black"
7827146834013,0,0,"4"
7827146834013,0,1,"5"
7827146834013,0,2,"6"
7827146834013,0,3,"7"
7827146834013,0,4,"9"
7827146834013,0,5,"11"
7827146834013,0,6,"13"
7827146834013,1,0,"black"
7827146801245,0,0,"3"
7827146801245,0,1,"4"
7827146801245,0,2,"5"
7827146801245,0,3,"6"
7827146801245,0,4,"7"
7827146801245,0,5,"8"
7827146801245,0,6,"9"
7827146801245,0,7,"10"
7827146801245,0,8,"11"
7827146801245,0,9,"12"
7827146801245,0,10,"13"
7827146801245,1,0,"white"
7827146866781,0,0,"5"
7827146866781,0,1,"6"
7827146866781,0,2,"7"
7827146866781,0,3,"8"
7827146866781,0,4,"9"
7827146866781,1,0,"black"
7827146768477,0,0,"3"
7827146768477,0,1,"4"
7827146768477,0,2,"5"
7827146768477,0,3,"6"
7827146768477,0,4,"7"
7827146768477,0,5,"8"
7827146768477,0,6,"10"
7827146768477,0,7,"11"
7827146768477,0,8,"12"
7827146768477,0,9,"13"
7827146768477,0,10,"15"
7827146768477,1,0,"red"
7827146702941,0,0,"5"
7827146702941,0,1,"6"
7827146702941,0,2,"7"
7827146702941,0,3,"8"
7827146702941,0,4,"9"
7827146702941,0,5,"10"
7827146702941,0,6,"11"
7827146702941,0,7,"12"
7827146702941,1,0,"black"
7827146735709,0,0,"4"
7827146735709,0,1,"5"
7827146735709,0,2,"6"
7827146735709,0,3,"7"
7827146735709,0,4,"8"
7827146735709,0,5,"9"
7827146735709,1,0,"black"
7827147063389,0,0,"s"
